RR_FLR_SMBR_W2,RR_SMBR_RR_W1,RR_SMBR_RR_T1,R_SUPT_T2,FR_SMBR_T1,RR_SMBR_FR_T2,R_SUPT_W2,FR_SMBR_T2,RR_FLR_SMBR_W1,ROOF_XMBR_NO2_T1,SSILL_T1,RR_SMBR_RR_W2,FR_SMBR_W2,FR_SMBR_W1,RR_FLR_SMBR_T1,BPOST_04_W1,RR_SMBR_FR_W2,FREQ
62.758437,78.146142,3.8745695,2.0551279,4.2015364,3.9118841,80.0791,1.8183548,112.60228,1.2733762,2.0247791,68.748283,113.07929,51.514106,1.6245539,160.04797,64.660025,55.1292
59.351314,61.52518,3.8282734,2.3960574,2.557141,3.6537462,53.304296,1.9448348,130.60337,1.5314615,2.1701685,41.046219,97.387182,65.452868,1.5050953,168.2062,68.850676,55.17632
56.200582,73.892731,3.2806245,1.5192461,2.743449,3.6725302,52.753174,1.8695404,136.19574,1.3315491,1.6470122,67.424221,153.30618,56.299188,1.1457759,197.32169,65.438087,55.69407
61.210943,66.699873,3.6377567,2.1334712,4.0520763,4.280654,61.450964,1.2433961,128.88497,1.2097416,1.3902438,50.357437,86.782431,53.271191,1.1279067,182.8977,73.509035,55.19308
44.966968,104.12299,3.2759118,2.2917258,3.7339138,5.116751,77.524834,1.8275124,115.61173,1.3491444,2.2144443,46.358374,114.85037,74.005811,1.1362712,168.38577,80.186827,54.8195
49.052327,69.75809,3.4278031,2.2325205,2.9417254,4.2380236,88.199913,1.2800406,135.10637,1.3912445,2.4158042,47.445992,104.78333,64.014856,1.5302191,155.22553,51.85301,54.97297
60.489535,86.333516,3.9363172,2.4592815,2.6244832,5.7812342,84.045131,1.6832402,123.88936,1.1517319,1.641737,65.971158,96.01989,66.069788,1.41911,142.89938,64.709133,55.43017
57.338804,98.701066,3.3886683,1.5824702,2.8107912,5.8000182,83.494009,1.6079458,129.48173,0.9518195,2.2585807,58.749161,151.93889,56.916108,1.0597906,172.01487,61.296544,55.51327
61.305038,80.819836,2.4284264,1.8146911,2.8029739,5.262131,85.399858,1.3825204,101.9047,1.1416853,1.5694403,51.83637,87.803568,67.513845,1.3812553,141.67848,64.74496,55.60749
53.34128,82.198874,2.2234959,2.0325559,2.8227596,6.3467276,75.69187,1.0937405,122.79999,1.2114273,2.410529,45.99293,119.49704,73.785455,1.8035532,200.40323,95.524056,55.26864
76.844769,73.929592,2.5178533,2.3191046,3.2193123,4.4177144,58.985348,1.714741,120.62126,1.330818,1.668113,39.636472,94.451333,53.216791,1.7324396,116.21091,68.353903,55.8586
76.435694,77.525645,3.9042405,1.9508419,3.7486764,4.2334081,75.681233,1.9259444,132.82242,1.1250836,2.0327316,43.655455,127.1936,49.665651,1.2278146,122.48824,75.613793,55.14174
68.519038,73.755093,3.5625853,1.7588468,3.8646152,4.0427146,63.807425,1.5246354,122.91069,1.2180016,1.9047285,61.120613,101.34228,74.436291,1.7983829,117.84046,61.298207,55.63257
56.114243,89.561031,3.7832368,1.8450659,3.3296662,4.5157736,60.766841,1.9152857,127.30425,1.1979219,1.731068,46.328681,88.04732,74.454123,1.4395616,154.97061,66.804959,55.45283
78.308722,85.51396,3.4411987,1.621908,2.7593111,3.5953697,83.620913,1.3543804,81.676588,1.1635247,1.5717155,69.857963,88.94435,45.396442,1.1093314,118.258,62.575281,56.2578
73.987719,68.256594,2.4119025,2.0438904,4.3010572,6.4957506,85.064858,1.2920308,77.645515,1.1204207,2.0582302,61.261042,149.49011,71.903059,1.600914,116.26401,70.909631,54.70783
53.960779,65.855715,3.0223583,2.3682444,2.7510249,4.5017647,81.502346,1.1528,135.98798,1.5015289,2.0381204,61.229567,124.29906,58.276684,1.5283974,152.51992,87.779215,55.28342
47.948406,85.587194,2.7845405,2.2987547,2.4540373,5.6852896,71.663992,1.2433746,128.57784,1.1836199,2.0895966,42.026898,119.73906,64.320721,1.7419848,134.3202,65.258916,55.22656
54.50674,86.102555,2.3081246,2.1648204,4.2847159,5.1789308,57.422069,1.7523164,90.933519,1.3823529,2.2345524,47.882862,96.168731,67.878186,1.5701347,127.91965,84.628158,54.99603
68.301164,89.685462,2.5312489,1.7084922,3.036898,3.7750604,54.406348,1.7890807,131.99148,1.1030982,1.9640243,62.048442,150.61236,70.598376,1.3115518,178.84338,79.076173,56.29175
48.743427,60.005318,3.3230701,2.060616,3.068779,4.2146062,68.715933,1.0543613,129.92875,0.9881341,2.1760942,69.51801,147.82903,75.902114,1.1639811,138.37204,65.258687,55.00671
63.757995,60.639314,3.5779759,1.8937627,4.2370638,4.009829,74.208493,1.8960773,131.99468,1.1168441,2.2370929,55.105593,143.08171,46.550966,1.2986628,211.30515,87.995072,54.93334
50.395639,106.17332,3.5289798,1.7316854,3.4882873,3.7441683,62.844232,1.2636859,100.51276,0.9576782,2.1181016,70.666098,92.429039,73.426657,1.0751162,161.13369,82.576898,55.41344
72.590117,102.12625,3.1869417,1.5085276,2.9179322,5.8837644,85.698305,1.6027806,119.6851,0.923281,1.9587491,60.59538,93.326069,44.368976,1.5848859,124.42107,78.347219,56.24988
58.293607,93.856964,3.4812991,1.7950763,3.314485,3.9547512,68.991783,1.3237811,117.50636,1.0426717,2.3563331,54.238922,140.28036,59.800311,1.5137723,139.82876,95.577066,55.50729
76.185386,85.522764,3.7699725,1.5029978,2.6674459,6.5159271,63.59257,1.771859,135.21822,1.2502971,2.0178082,41.180205,130.20146,68.601287,1.353467,154.66279,57.355955,55.68269
50.151449,86.914657,2.3725864,2.2957149,3.107851,6.3926516,69.010024,1.1674906,123.95754,0.9121128,2.2482919,55.289389,84.312781,47.934942,1.1007663,126.66755,61.479041,55.32145
76.879071,64.767031,3.8426345,2.4485629,2.7989664,4.9324684,73.190261,1.4164804,107.37872,1.4634638,1.9534739,59.142317,108.03978,54.139575,1.01822,169.59877,77.618265,55.37593
66.135547,77.235872,3.4067824,2.0273671,3.2477291,4.8657991,86.942734,1.5579023,90.756227,1.1961431,1.5232068,58.579263,94.641532,73.622932,1.6340821,196.86089,85.024453,55.49065
49.925879,81.461228,3.2322723,1.6444801,4.1380879,4.2205262,88.008144,1.1789947,136.27888,1.2254737,2.3259657,59.013316,154.5266,59.125092,1.7703321,177.50274,76.11125,55.50997
69.730815,60.63239,3.9898132,2.0218373,2.9972428,5.4979618,64.837,1.7269807,106.28935,1.5231592,1.5822659,72.764088,131.51693,61.855243,1.4026632,127.50261,64.033189,55.36312
81.168024,77.207816,2.6383273,2.2485983,2.6800006,3.9811723,60.682218,1.2301803,95.072335,1.2836466,1.9481987,57.689254,122.75349,63.910175,1.2915541,214.77646,76.889311,56.29656
65.562503,73.160745,2.2962892,2.0254404,4.2096455,6.1207684,83.53629,1.569275,114.24467,1.2492494,1.7888463,47.618536,123.65052,70.852493,1.8013238,178.06385,72.659633,55.24241
63.41683,68.358695,3.8426503,1.4300508,3.1941831,5.1719919,76.353164,1.7468981,112.30378,0.8893384,2.1181359,44.057527,106.2281,75.625842,1.6118214,125.27507,56.949635,54.94191
74.019768,73.073175,2.785506,1.8218727,2.878277,4.5466657,52.328957,1.5406805,93.982969,1.343342,1.5769907,71.311025,146.23064,71.625842,1.6759973,172.6803,63.304235,56.34807
59.723258,64.803892,3.0798633,2.1084215,3.2748297,5.6776525,79.422435,1.2616811,91.804236,1.4627326,1.9745747,64.954567,121.18493,51.057178,1.6048836,188.08799,80.534082,55.36426
74.529881,59.08525,3.1516127,1.7065414,3.8617344,6.2703068,66.730483,1.1514868,126.78171,0.8542512,1.8573132,42.506812,114.92748,54.249001,1.8196997,202.40705,66.208874,55.5377
53.664098,80.479116,3.1706385,2.3061666,3.0008679,5.0327631,53.007594,1.476523,108.61808,0.9227904,1.5734575,59.800532,139.49086,53.907835,1.794669,129.93946,61.462837,55.65879
76.792731,80.435331,2.4852469,1.6343827,3.3851836,5.7757118,81.203928,1.4622258,98.487231,1.3298366,2.0375297,71.646777,114.78092,72.29451,1.3120057,127.24769,78.985138,55.4757
61.18721,76.38826,4.0032088,1.4112249,2.8148285,4.8553078,60.258,1.8013205,117.65957,1.2954394,1.8781773,61.576059,115.67795,43.236829,0.9817755,190.13507,74.755459,55.33285
80.826848,81.652652,2.6558519,2.1537018,3.2714135,6.6226879,82.797222,1.3056185,109.29429,1.2655918,1.662919,72.768398,84.596289,47.059072,1.6003844,201.93681,73.983814,56.102
56.92313,76.247782,3.8625296,1.674643,3.0677439,6.600833,57.355867,1.2592503,87.806079,1.5457307,1.8146429,54.766049,111.33344,55.017569,1.3055363,182.05034,70.941147,54.82807
51.681739,85.246138,2.5757772,1.6675885,3.9436805,5.3078821,94.565678,1.5782559,129.09523,1.3948769,2.1434301,45.957416,147.94804,50.287238,1.5136924,184.38904,79.57849,55.1739
65.476163,88.829045,2.7989016,2.3512602,2.6958627,3.9040118,91.549957,1.6150203,105.35319,1.1156222,1.8729021,60.122996,130.39166,53.007428,1.2551095,135.71277,74.026505,55.4781
51.179653,80.559762,3.0932589,1.497809,3.0924154,5.0349986,74.843435,1.3360208,103.17445,1.2350129,2.2704861,53.766538,105.34596,68.438763,1.1839959,151.12045,91.256352,54.90132
77.885645,64.574548,4.014259,1.5724108,2.8622581,4.0299594,68.887111,1.76024,106.32654,1.2902817,2.4296242,66.275199,84.65214,55.419359,1.7871235,134.08795,74.258915,55.73506
46.636484,101.31361,2.279986,1.6830795,4.2925812,5.2697671,94.64558,1.4430174,103.17766,1.2487588,1.4035547,46.823689,97.815316,44.391353,1.1711069,183.58223,55.77525,55.63065
69.765117,101.26983,3.4545944,2.1512956,2.5768969,6.0127158,79.041913,1.4287202,93.046805,0.935805,1.8676269,58.669933,145.10537,62.778027,1.5284436,180.89046,73.297551,55.64687
71.903011,62.797329,2.9502834,1.9637961,3.1699933,4.8390986,78.697384,1.7443642,101.44694,0.9979172,1.3556032,62.114946,116.15197,58.090357,1.1618697,137.8106,78.811679,55.37738
78.972095,84.731265,2.1833091,1.5843932,3.3700023,5.2146894,89.42887,1.7707212,88.68934,1.1745864,1.5227949,45.957017,95.013965,57.640698,1.3862164,211.70584,63.357245,56.10561
49.167143,67.935648,2.6536538,1.8242219,3.3460657,4.1212707,61.233148,1.8991319,102.05281,1.375371,2.3588983,71.46948,87.897664,59.902003,1.5786912,154.92912,83.70222,55.37472
55.659301,67.993553,2.300915,1.8322821,3.1495525,5.3358486,92.528642,1.5365316,112.60888,1.1928818,1.529934,61.170308,99.136033,53.813652,1.2749823,177.77322,72.847936,55.50969
59.757559,105.44133,2.5446445,2.2378798,2.8544838,6.1924065,93.627348,1.8634205,78.561693,0.8753785,2.2599357,50.860413,134.77338,51.979962,1.7306641,141.87584,89.798444,54.92576
80.878059,69.615574,3.357874,2.2149485,4.5083194,4.450196,61.873852,1.7404488,107.34633,0.8455308,2.4500416,49.773774,128.84973,52.358062,1.6936924,145.97436,76.905373,55.29386
69.523836,101.13155,3.6702567,1.4040186,2.490023,3.6096946,66.659421,1.2167319,101.74892,1.1232589,1.4650166,44.667163,131.41076,61.242328,1.0244542,188.6126,57.502571,56.01588
52.609304,101.30669,2.6918232,1.8111541,3.0527602,3.6978999,85.274087,1.2739208,77.472326,0.9350739,1.8887277,64.482184,86.250529,59.69563,1.2751073,199.37969,76.213367,55.64061
64.046512,68.082117,3.2003373,2.0379151,2.735518,5.2411105,81.119304,1.6771204,131.05531,1.4155613,2.2546605,49.40735,149.48709,61.750562,1.1639982,187.05354,89.06949,54.97022
76.506457,98.565991,2.5426101,1.5636039,3.6379726,6.4002571,63.222966,1.7566849,116.59421,1.0970853,2.4290201,49.614358,112.4309,73.854032,1.4936066,170.6897,53.822146,56.29319
76.806478,72.281675,3.0588425,1.903268,3.5808334,6.305428,78.165256,1.5395427,112.25409,1.2676313,2.2219774,42.487838,111.04314,60.665254,1.7087467,130.12335,69.305525,55.41317
56.898257,63.947475,3.347516,1.6111895,2.9337943,5.8066039,72.766044,1.0876206,129.96595,1.4752566,1.8834525,63.029121,100.96424,69.466229,1.5484414,144.95738,75.484413,55.37339
80.401746,105.47819,3.6418734,1.8977383,3.3303471,3.8775907,56.059522,1.7086211,127.78721,0.8746473,2.2810365,56.672663,147.91854,48.897565,1.4773277,160.36507,92.71426,56.01773
69.926526,100.40995,3.9281656,2.288101,3.715951,5.3557335,89.599775,1.6201114,118.35585,1.1514866,1.4490912,48.773735,119.10229,52.839217,1.5240015,195.45858,78.466941,55.45758
81.165708,85.171233,3.343779,1.6464146,3.7577476,4.5583994,70.315343,1.8147394,123.75299,0.9109701,1.568627,53.734697,119.43411,66.33948,1.2157974,175.36306,71.169316,55.82809
55.138077,89.410186,3.0951707,2.1876937,3.1792305,4.5154292,76.51485,1.0992707,105.42137,0.8760031,1.3394571,49.441227,118.68455,70.872582,1.7767658,119.48093,70.796414,55.59884
81.865699,67.262561,2.7052188,2.3405417,2.8703459,6.115246,80.695087,1.3482605,88.842543,1.4273541,2.184639,53.294155,142.41155,77.077216,1.6942196,162.41215,86.935638,55.23497
78.411016,66.682722,3.6151845,2.3754455,2.9879756,6.1750788,69.272556,1.2439778,108.25272,0.9136552,1.9569922,46.018886,150.93187,73.361548,1.2456005,157.10307,94.166114,55.0459
73.297196,99.058031,3.4721735,1.9942551,4.2464889,5.5495042,81.690302,1.7840938,97.729553,1.2321267,2.2997878,44.245947,138.76505,76.37722,1.506583,140.5582,68.729239,54.61766
63.960173,83.750416,3.7029497,2.3637349,3.3217351,6.0843539,89.132971,1.7228657,122.16383,1.2819341,2.3387163,61.911811,84.228234,43.905496,1.4577839,144.70246,90.436362,54.6877
48.354652,79.703345,3.3609116,2.1405771,2.7513801,5.16395,68.187044,1.1619604,76.536163,1.2475369,2.1793638,51.841092,85.125265,50.847815,1.1275536,207.58984,86.206684,54.59392
71.858141,71.434063,3.655269,2.4271259,3.1479328,6.2949367,51.480522,1.7829609,139.15743,1.3669276,1.4369478,45.484634,132.07956,66.27915,1.05644,123.39753,59.036531,55.01312
54.94361,71.609203,2.6768354,1.6942614,3.71067,6.3831421,70.095188,1.8401497,114.88083,1.1787425,1.8606589,65.299655,86.919325,64.732453,1.3070931,134.16462,77.747327,55.22514
50.403038,82.434602,3.7397941,1.516405,2.4642393,6.3969346,64.609704,1.6571104,125.14819,1.4189018,2.2159443,54.120243,93.42229,43.57199,1.4813759,152.22509,53.781017,55.51524
52.643605,92.14413,4.0166044,1.9406124,2.6324143,4.2126539,55.679,1.8756602,129.02978,1.0677197,2.1740886,50.388029,99.838976,60.618414,1.4008877,153.16754,85.47773,55.17917
57.653966,84.951272,2.5137367,1.4148375,3.9410415,4.8207777,64.37679,1.249516,121.71901,0.9459122,1.9173203,66.921246,105.31523,57.590417,1.3830185,138.74355,93.548678,55.75
80.436048,96.315632,3.1066545,2.0271966,2.9100012,4.3923447,70.264435,1.4103606,114.54467,1.0072932,1.4263974,42.578509,89.506983,49.820349,1.6031082,213.75292,57.578622,56.23428
63.521516,96.490772,3.988221,2.4343321,3.4727383,4.48055,88.879101,1.4675494,90.268073,1.5391081,1.8501085,62.39353,116.34675,48.273651,1.0137613,124.92,76.289419,55.06295
70.591218,62.393475,2.3545477,1.8512766,2.5926943,4.9247229,82.639779,1.3202126,134.271,1.0968362,1.845591,51.196277,108.88896,72.925462,1.4825529,186.63211,81.42567,55.71782
73.287792,92.180991,3.2538332,1.600471,3.1082775,4.9578381,61.911174,1.7208608,113.4553,1.0669886,2.1951894,56.20028,112.98413,57.536017,1.1475514,171.65676,88.393546,56.08043
75.015935,70.808607,3.6911143,2.2243549,3.2466648,3.9661915,71.447192,1.5398243,80.674979,1.1488307,1.8930102,61.647484,111.71002,46.879803,1.688973,194.84665,78.467836,55.74929
46.078209,79.886675,3.1448239,2.0141288,2.6166956,3.9689739,94.305375,1.6851494,89.964184,1.2869961,2.0962268,69.191213,87.859848,49.613976,1.2995242,158.60348,94.48977,54.87816
53.74899,64.661377,3.0099341,2.0908495,2.7414237,5.8898249,53.096373,1.7220892,128.8442,0.917019,2.0088122,67.282349,145.25133,75.400384,1.7683569,178.83682,61.186444,55.51045
77.576746,104.62178,3.909526,1.4005063,2.9893117,4.006542,93.203131,1.5345607,101.14892,0.8871713,2.1899142,54.747217,127.69784,67.306616,1.4208855,117.23446,87.664592,55.69428
63.280235,96.352493,2.3438834,1.6870551,3.3858645,5.1375288,76.496609,1.2555612,98.970191,1.006562,1.4474982,48.390759,102.65214,46.737952,1.3497718,132.64214,60.494439,56.38864
61.221994,76.240391,3.044354,2.0280455,2.802914,4.0005981,82.737122,1.8255429,76.166014,0.892679,1.6842144,66.819835,145.32023,58.896256,1.2981947,119.29056,94.769508,55.03504
78.027065,96.158645,3.7117936,1.5036472,4.1767878,4.915039,53.271084,1.1536852,92.927446,1.3233367,1.3832201,72.737374,128.45666,73.581403,1.4371521,193.02719,72.233735,56.24009
63.355698,96.11486,3.026402,1.9718634,2.4611035,5.6579876,81.467417,1.139388,82.796595,1.0103829,1.8472924,50.983619,103.74672,55.968077,1.7944888,190.33542,89.756036,55.99188
49.059187,87.845578,3.3207594,2.2584121,2.8576562,3.7289744,64.760896,1.7603885,80.617863,1.1297736,2.2448763,44.627161,150.70102,71.399413,1.7233752,205.7431,62.585883,54.85678
68.864124,67.01674,2.2183002,1.4957694,3.816811,5.00641,85.389752,1.4083745,115.42833,1.4274591,1.5011766,58.377933,127.69134,74.129564,1.3557063,155.74297,94.907821,55.6158
66.047445,58.706034,2.7184896,2.2539254,2.7652089,5.6982642,80.111002,1.3385164,99.880723,0.8653687,1.8258067,58.623875,138.91188,69.794991,1.230501,191.94742,72.472767,55.44162
68.953661,104.33343,2.4584902,2.2816054,3.3090454,3.6980823,73.19878,1.2349937,113.93915,0.9843536,2.3989536,53.244817,92.517697,74.227693,1.4869395,188.03341,66.086607,56.26768
53.34814,100.28636,3.9764522,2.0584475,2.7386904,5.8376784,52.252852,1.5740884,133.11148,0.9499564,2.2396011,43.174099,93.414727,45.170012,1.1567093,151.3208,61.856929,55.3759
76.85163,92.01708,2.4108095,2.3449963,3.1352431,3.9086652,79.346331,1.2950889,130.93275,1.0693471,1.4971851,70.417641,140.36902,60.601348,1.0855956,166.72848,79.086776,56.17539
59.937098,92.19222,3.292376,1.6121318,3.6979803,3.9968705,54.160997,1.3522777,106.65615,0.881162,1.9208962,56.632661,95.208787,59.05465,1.3362488,177.49557,53.397572,56.24185
62.628913,91.306468,2.8973693,1.4867195,3.4511748,6.4628179,51.163022,1.6961354,96.505128,1.0609315,2.1215531,72.060659,88.112284,63.992137,1.6390275,190.85367,59.452425,56.11576
57.637093,62.927147,2.772145,1.8584829,2.6197246,4.8863823,83.544809,1.3877882,120.8051,1.4901392,2.234326,41.721036,108.12844,54.940612,1.4300434,196.49849,61.127974,55.0452
72.633594,103.08776,3.6992274,2.2660612,3.4357701,5.3122422,66.831074,1.2003089,88.07339,1.1671325,2.452754,47.636951,84.151587,50.247012,1.1395791,168.13989,59.66445,55.6884
66.844072,96.188582,3.3608597,2.4315804,3.41283,4.0883559,93.931766,1.7297892,116.44764,1.0089206,1.8894939,62.60812,130.03703,49.803282,1.2878161,127.71387,95.587668,54.95828
63.389389,95.608744,2.4108254,2.4664842,3.5304598,4.1481887,82.509234,1.6255065,135.85781,1.2152217,1.6618471,55.332851,138.55734,46.087615,1.6791971,122.40479,58.418145,55.69427
64.896329,67.808624,3.4077296,1.6608099,4.4513783,5.4467487,92.069229,1.2341654,130.9316,1.2168688,1.3893807,58.211112,96.796124,56.665753,1.2571775,184.32847,83.757981,55.26958
