Model,MSE,R^2
Linear Regression,0.03379853807966165,0.8553844912763393
Random Forest,0.07177845944051718,0.6928778871167391
SVM,0.09768392538035077,0.5820348640610508
KNN,0.136258946424046,0.4169819768884898
