Year,1,2,3,4,5,6,7,8,9,10,11,12
2001,,,,,,,-0.09003074958412449,0.006573723571230872,-0.12003081946763039,0.1211849566377583,0.19724437998549682,0.07735793380856992
2002,0.07837681995098755,0.09614073549266777,0.09218405102501248,-0.059447508876928956,-0.05453854737991792,-0.06740331491712703,-0.03329653166738478,0.02564102564102555,-0.12218902770233575,0.01933727298041532,0.09998178838098704,-0.13417494481236203
2003,-0.05687196239343473,-0.027759943229818007,-0.06904401925516557,0.11881650177338066,0.0568449153249353,0.0576394809131382,0.06506649948502097,0.06439903576634154,-0.08157004226631737,0.12163092097717643,0.01766450227516736,0.01824964204074475
2004,0.04661346227380925,0.04115497937536827,-0.003305336080233645,-0.02005678591709248,-0.06837884196374766,-0.022454717356688025,-0.06420290408378826,0.09278701009057033,0.0392249586221487,-0.00029936893029491873,0.05177039911839376,0.02034029565177775
2005,0.041052772568979545,0.084335799292377,-0.04516690397089074,-0.056312650153259924,0.06464391528585556,0.03911524309170167,0.10229527059196952,-0.02515994924817111,0.127089621814221,-0.0515147296090942,0.12030808817815242,0.06314742878283375
2006,0.014832858478870836,-0.020173878256645406,-0.008741679364824728,0.04422624301265077,-0.071865777295683,-0.01711315170372618,0.0020615372736747517,0.04231711639518587,0.013801617457900317,-0.005002151070795824,0.04958411197830803,0.0015709986663967612
2007,-0.05174769599709994,0.041985546561978504,0.024842310243131438,0.061746583594368465,0.10288281979458458,0.025098329717621715,0.10878068364303739,-0.031051017188494123,0.03909803335397499,0.06081233816941345,-0.07693052764123298,-0.004653725078698767
2008,-0.14361166604291753,0.05351207622424092,-0.004457765158154214,0.07129149818954339,0.014544199575999617,-0.09562531722119627,-0.04791273613068081,-0.07552032708961731,-0.01775830258302591,-0.23134400508266229,-0.03323270982696347,0.04497848652968672
2009,0.033473547537951065,-0.08525871044909683,0.1347374956492291,0.13521131431034772,0.01937401413799167,-0.0041693829743032484,0.12029610019639292,0.022192398333001462,0.05106636931871744,-0.055255388072725564,-0.015872815036471533,0.08174980714836733
2010,-0.047742709936592576,-0.004898809932415205,0.061627513200968265,0.028773961071565823,-0.05759778589310727,0.03475399847677063,0.03594203581249378,-0.009424042106938368,0.0746291780232391,0.005414323930350795,0.011513847951353018,0.07684957183284946
2011,0.009132130667966809,-0.06301788155943044,0.08631980611560874,0.04066074903878114,-0.0227562991479503,-0.019500856488072094,0.015480627793724944,-0.11864748430768657,-0.05875188153884603,0.07876133698753973,-0.03222579006092097,-0.01178342742393812
2012,0.07123139110716759,0.03807157210129919,-0.007984238394286414,-0.015913288713233054,-0.06988935362943305,0.005717478450964819,0.015091612235101248,0.012290182200755506,0.047813261106911975,-0.04215488350424057,0.010899239563612051,0.03318847327849328
2013,-0.017580931874514816,0.032901108086893505,-0.01065882387773931,-0.020420072921706445,0.018890501285674155,-0.06882886484595585,0.027214863791511945,0.006441905299289896,0.03664943208953675,0.01659021713003761,0.0072804653980858,-0.016397130379926295
2014,-0.03489713325444721,0.020008757695180623,0.002838398173728107,-0.011996313475455822,0.016908027872504228,0.00363415807835743,0.03691420979817295,-0.00365104136562433,-0.023422317189902064,-0.02755322782648295,0.008323024999618234,-0.032911277375579306
2015,0.01757683011500366,0.018745575243938717,0.027812468526538403,0.04220418122222602,-0.005815238086283592,-0.01919803291091371,-0.021232282325715834,-0.043676360483902776,0.010981256663696426,0.03396151435951533,-0.018477730639033796,-0.015391798069248064
2016,-0.025110767803152023,0.0024057822453271704,0.04131666544927093,-0.0008517674173910139,-0.0053907679963894894,-0.006579610769385957,0.023264902174740643,0.009155883126094277,0.004413535497505672,-0.017341691010603677,-0.012304612611356514,0.021668985822897113
2017,0.020286608173859966,0.011641685650304323,0.03279244994358499,0.02092832707628367,0.0643590394660476,0.01891896497371537,0.004565618218990819,-0.016448094027160964,0.013236345786838966,0.0538574298278951,-0.018649219514708104,-0.0035858938688484443
2018,0.040109585043911045,-0.05419916928376045,0.00761732911475832,0.02842774495574152,-0.03672208572859759,-0.039983326523621465,-0.013270969378323616,0.012033495116021697,0.0086917963906874,-0.1337476046383591,0.03309372367208785,-0.026620756750569963
2019,0.08025810371183306,-0.004267864027031276,-0.024947163211019197,0.029392666781895338,-0.07344832750194008,0.043531497644166084,-0.04978363105574901,-0.028035859820700892,0.04840963720722247,0.009902813795109155,0.0021502486224969086,0.052544110040422254
2020,-0.03579245291604283,-0.06229324071146447,-0.11694455488397137,0.10994847946017416,0.04212450450820504,0.03879089475758768,0.06689654845304105,0.03414289334346954,0.000739412854606325,-0.026092298175600992,0.1429945085239177,0.10887417320768389
2021,0.035754679881815354,0.012344559019692669,0.016087223485288682,0.02823526337451243,0.017808924157999284,0.028952033758645523,-0.02862273560066486,-0.0009524344849984878,-0.040774926780171694,-0.03197971858890403,-0.044323185263979825,0.04883392450185098
2022,-0.10555639514382142,0.013456787342209342,0.02166213442601106,-0.022700487734121366,-0.003395113263204852,-0.13152388398674564,0.05095514095616993,0.008382622883948754,-0.12805566230456522,0.06407823743093233,0.07800803100788722,-0.09550136904304507
2023,0.08436773385798602,-0.005043132597687516,0.02652879375012951,0.009960191532827789,0.030217506885785728,-0.004982305829763334,0.026635156847146124,-0.02898677343138667,-0.035676982478376584,-0.07589236816804401,0.11295045193350295,0.047327919094068305
2024,-0.059575637974149664,0.05817571653404552,0.03946093643561066,-0.019867983674539458,-0.020631040912906795,0.06117913006538922,-0.009696835393270486,-0.034785558831915586,-0.030303143614614614,-0.0085991817280886,,
