Year,1,2,3,4,5,6,7,8,9,10,11,12
2001,,,,,,,-0.11421881097957598,-0.09179027757379943,-0.16494178525226388,0.21127033307513554,0.12741806554756208,0.023964832671582448
2002,0.0713197618058441,0.017450879007238962,0.1781222208105704,-0.20910169308745818,-0.04854104172347973,-0.1279736314130122,-0.03664749383730481,0.008358921869668912,-0.20977837929284382,0.028687647184757026,0.08012486992715928,-0.1452793834296724
2003,-0.021866546438232715,-0.03710532380732878,-0.09597893729056972,0.13317447709822616,0.10233644859813085,0.0544722339974566,-0.008442211055276316,0.004257044394891496,-0.09446911586596685,0.03388319215336599,-0.011642949547218673,-0.021160558464223378
2004,-0.01615778916870958,-0.0289273983463586,0.012783428198189783,0.04447669062096926,-0.11588418197455186,-0.03925970268382717,-0.14011630925800933,0.07382023489628953,0.0180509475341617,-0.013919575784356986,0.04590522070356262,0.018477358541092004
2005,0.24352535955617483,0.053768897346442523,-0.08698182110036523,-0.06731424301694389,0.11093308199811514,0.06729871892763195,0.08638540569543518,-0.07816272773834776,0.13493402123226517,0.02711775504851821,0.2126612875770264,-0.014879490166903042
2006,-0.01645791476082581,-0.011416318961520622,-0.02513336068937211,0.030411449016100267,-0.08015289449112983,-0.06315622521808095,-0.0559016726484729,0.027202955205680945,0.04816437686573671,-0.02384997168648606,0.061542398908036144,-0.025748589613771133
2007,-0.04912975336137915,0.042611516907541835,0.0799760371424294,0.0414336122282315,0.10651299047168128,0.04121037078636669,0.0421605516957968,-0.04484177839116721,0.025066762994594427,0.019520237615787472,-0.0842272889997161,-0.05069826377655562
2008,-0.13545290601082027,0.07736022600354775,-0.01751684605299264,0.003987896656063139,0.007928657537634054,-0.09500881698995622,-0.08598925769667398,-0.12820702951208673,-0.06274985115250487,-0.3011547972865667,-0.0017855403694443384,0.07990763626902564
2009,0.09893088390302651,-0.004631405864620408,0.16032047575782604,0.1887338648443433,0.05553115892849991,-0.08254538577912252,0.03957538905493152,0.02052146326955495,-0.0170196230814067,-0.03850258923983085,-0.045512477901574644,0.10606909028256384
2010,-0.03310162197947708,0.021064502487061265,0.017178470701930904,0.015531081552720316,-0.06554653937947486,0.0011442115156716781,-0.01740887383158507,-0.03476996572852842,0.06033870585956835,0.06839167935058366,-0.053300408395859145,0.02467946788659492
2011,0.020932463921361277,-0.03245233802600789,0.041549379534551845,-0.0274447108979482,-0.051780821917808195,-0.010298427374416996,0.11781878844750282,-0.07948885365171154,-0.08872405966277552,0.09124671974380627,0.004320446717887005,0.014955053671800611
2012,0.027610060378263857,0.05507889258545884,-0.041932509680988383,-0.07827777350065435,-0.014512727348660381,0.0364876891130228,-0.04405511489083325,0.08712388528902282,0.03035310317694484,-0.029535301080606313,-0.017587692549821954,-0.006107695696577764
2013,0.014808994197292202,0.0639307483074234,0.03573627932147727,0.015945371337969805,0.024828417897742483,-0.10177029435686236,0.06791122413593809,-0.06777795818224452,0.03512404690947091,-0.004580381012918466,-0.028885883855458094,-0.03301357676091743
2014,0.030420608412168315,0.026708074534161463,0.023858136721113032,0.03279293917796067,-0.02290199163299611,-0.017327502607359158,-0.0013778721185713216,0.06317124105011929,0.005296387232549993,-0.025330588604724147,-0.024378020404510425,-0.0038709914141044077
2015,0.08952612483194278,0.055749011122755876,0.0415172281286027,0.05921689803071528,0.032481386336918217,0.043407975934438126,-0.023185633260134453,-0.05234049595895507,-0.012559852134301663,0.007590496403725888,0.006948202975293638,-0.008759696679159767
2016,0.0006594856012309691,-0.045664909197422276,0.056413246984438725,0.01654609372730187,-0.0018863340811979823,-0.033445486434247274,0.046141995882030606,-0.0602486406887176,0.026397866473805598,-0.08298468900926304,-0.04573541653326496,0.0592675848417239
2017,-0.02424616749018127,-0.006378524012789377,0.011564848088859714,0.014468414933471285,0.03788361135871643,0.026072020121465034,-0.027756187970823798,0.011314895383338186,-0.007615949409421896,0.06338653840262243,0.11123595505617967,0.03500038889321
2018,0.14422233911976168,-0.06185623433343923,0.016369915758523534,0.005579216843265344,0.004235401564016028,-0.06984516745106062,-0.052186453521057996,0.05344800907778002,0.006487386317735044,-0.2111228671847447,0.0725946937579971,-0.028903644935035055
2019,0.060993117738474156,0.02007365454900545,-0.002652991452991582,0.034868574405945374,-0.07720539523544534,-0.008528723419530038,-0.08739663736550185,-0.03114983020724238,0.018360494635984104,0.05912249099330924,-0.038768754176031095,0.05819997156353196
2020,-0.04083125569174273,-0.04941788071224007,-0.06821344947849295,0.13374453054984436,0.10617192101429063,0.034034861562605156,0.1047874574847214,0.04040230589966898,-0.00010610204659067257,-0.06543653834816954,0.11790828234403583,0.09288914468858267
2021,-0.04098428367856921,-0.01592497281233507,0.046206534345799355,0.028530491439806793,-0.0016981036148254747,0.04907413066063682,0.0011456755602159419,0.006972864984386096,-0.03376575847755525,-0.010904342799047062,-0.026906371872260304,0.07078280500812939
2022,-0.15581539294763924,0.009394296974349015,0.07202605922344407,-0.04211618476914436,-0.012589113014644937,-0.16557714695083725,0.07804786434857269,0.004255742763992876,-0.16652210547184776,0.033717386456552534,0.049199660592812,-0.06887901965622178
2023,0.090094068807137,0.06902186390093057,0.07064173825164222,-0.005533792712856256,0.016741217090041838,0.013186454127476877,0.07800838477840233,-0.008087866064083293,-0.09411891426109431,-0.12475327578416684,0.12984648824887923,0.04195123124278588
2024,-0.07769712775655746,0.07972573945247996,0.04929544822471499,-0.04038652678078414,-0.033316837950122524,0.0005476320864783446,-0.04436961591547295,-0.044188507750731465,-0.004924054920146914,0.0071084463528301445,,
