Date,Cumulative Return 1-6,Cumulative Return 2-7,Cumulative Return 3-8,Cumulative Return 4-9,Cumulative Return 5-10,Cumulative Return 6-11,Cumulative Return 7-12,Cumulative Return 8-1,Cumulative Return 9-2,Cumulative Return 10-3,Cumulative Return 11-4,Cumulative Return 12-5
2002-06-11,1.1500209022059251,0.9704248449910834,0.8911302335914728,0.7179807658472657,0.8558684830678722,1.0837921826639234,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-12,1.160924047648938,0.9796252718756343,0.8995788822437509,0.7247878149194196,0.8639828212795344,1.094067425292052,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-14,1.15944302530545,0.9783755373052879,0.8984312650270767,0.7238631834154401,0.8628806149247809,1.0926716937578302,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-17,1.1413181328160946,0.963081166611047,0.884386616232539,0.7125474550095954,0.8493917085832723,1.07559059831521,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-18,1.141656652208892,0.9633668202271264,0.8846489287392075,0.7127587993533622,0.8496436414643589,1.0759096226658895,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-19,1.0950679207751637,0.9240537413142255,0.8485481700089679,0.6836725340424633,0.8149713787048237,1.0320038964036529,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-20,1.0956885396619587,0.9245774396103705,0.8490290762711932,0.6840599986727023,0.8154332556534822,1.032588774379898,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-21,1.0981145953103393,0.9266246238589382,0.8509089825689834,0.685574633136364,0.8172387746346025,1.0348751155597662,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-24,1.0831492171537587,0.9139963535814366,0.8393125838366842,0.676231451939009,0.8061012418499016,1.020771580723486,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-25,1.0662232475138937,0.8997136727774762,0.8261969585032637,0.6656642347506715,0.7935045977955746,1.0048203631895218,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-26,0.989985859261002,0.835382097989638,0.7671219960639826,0.6180677273315348,0.7367672135342099,0.9329734208802912,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-27,1.0020597176041057,0.8455704102964631,0.7764778088018225,0.6256056755925489,0.7457528196262966,0.944351956054519,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-06-28,1.0476046809100426,0.8840027238931198,0.8117697706365014,0.6540402958435003,0.779648289335815,0.9872740239021612,1.1656276779863235,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-07-02,1.0476046809100426,0.8881804080282784,0.8156060910465269,0.6571312068710891,0.7833328077217057,0.9919397550308459,1.1711362857385479,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-07-03,1.0476046809100426,0.8966667008726315,0.8233989584321342,0.6634098950838262,0.7908173137306516,1.0014174367822763,1.1823261356739778,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-07-04,1.0476046809100426,0.9149723367697074,0.840208818234468,0.6769535451135454,0.8069620125269474,1.0218615805883073,1.2064635679330118,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-07-05,1.0476046809100426,0.9376937014820076,0.8610735922023843,0.6937642264573256,0.827001173776706,1.047237309148589,1.2364234887278724,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-07-08,1.0476046809100426,0.932361500648529,0.8561770920779074,0.6898191320403463,0.8222984266630905,1.0412821879359089,1.229392559175176,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-07-09,1.0476046809100426,0.9545472648306808,0.8765500300958204,0.7062335427395638,0.8418652137608119,1.0660597458386667,1.2586462482069312,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-07-10,1.0476046809100426,0.9458824384762782,0.8685932173935454,0.6998227643119724,0.8342232497011869,1.0563826738680617,1.2472209876837994,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-07-11,1.0476046809100426,0.9103780744444333,0.8359899587522178,0.6735544235846301,0.8029100920228055,1.0167306056148822,1.2004056688094833,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-07-12,1.0476046809100426,0.9437638408236906,0.8666477329690879,0.6982552937623688,0.8323547474997949,1.0540165766005234,1.2444274487097369,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
2002-07-15,1.0476046809100426,0.932563838626585,0.8563628967701308,0.6899688342838476,0.8224768791205268,1.0415081635176398,1.2296593578412383,1.381349829193981,1.5042651941809912,1.8670363575717148,1.566240865733252,1.2368572271661318
