구분,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
시,1399,1662,2334,2346,2193,2505,2948,3278,3275,3289
희곡,485,50,60,67,40,533,145,35,217,65
소설,5647,6116,6449,5735,4750,4224,3544,3478,3579,3672
수필,541,463,797,752,999,1164,1564,2184,2594,2528
기타,2599,2608,3261,4004,5364,5141,5407,4397,3573,4166
