ROOF_RAIL_A_W1,ROOF_RAIL_A_W2,ROOF_RAIL_A_T1,ROOF_RAIL_A_T2,ROOF_RAIL_B_W1,ROOF_RAIL_B_W2,ROOF_RAIL_B_T1,ROOF_RAIL_B_T2,ROOF_RAIL_C_W1,ROOF_RAIL_C_W2,ROOF_RAIL_C_T1,ROOF_RAIL_C_T2,ROOF_RAIL_D_W1,ROOF_RAIL_D_W2,ROOF_RAIL_D_T1,ROOF_RAIL_D_T2,ROOF_XMBR_NO1_W1,ROOF_XMBR_NO1_W2,ROOF_XMBR_NO1_T1,ROOF_XMBR_NO1_T2,ROOF_XMBR_NO2_W1,ROOF_XMBR_NO2_W2,ROOF_XMBR_NO2_T1,ROOF_XMBR_NO2_T2,ROOF_XMBR_NO3_W1,ROOF_XMBR_NO3_W2,ROOF_XMBR_NO3_T1,ROOF_XMBR_NO3_T2,BPOST_01_W1,BPOST_01_W2,BPOST_01_T1,BPOST_01_T2,BPOST_02_W1,BPOST_02_W2,BPOST_02_T1,BPOST_02_T2,BPOST_03_W1,BPOST_03_W2,BPOST_03_T1,BPOST_03_T2,BPOST_04_W1,BPOST_04_W2,BPOST_04_T1,BPOST_04_T2,R_SUPT_W1,R_SUPT_W2,R_SUPT_T1,R_SUPT_T2,FR_SMBR_W1,FR_SMBR_W2,FR_SMBR_T1,FR_SMBR_T2,SEAT_SMBR_NO1_W1,SEAT_SMBR_NO1_W2,SEAT_SMBR_NO1_T1,SEAT_SMBR_NO1_T2,SEAT_SMBR_NO2_W1,SEAT_SMBR_NO2_W2,SEAT_SMBR_NO2_T1,SEAT_SMBR_NO2_T2,SSILL_W1,SSILL_W2,SSILL_T1,SSILL_T2,RR_SMBR_FR_W1,RR_SMBR_FR_W2,RR_SMBR_FR_T1,RR_SMBR_FR_T2,RR_SMBR_RR_W1,RR_SMBR_RR_W2,RR_SMBR_RR_T1,RR_SMBR_RR_T2,RR_FLR_SMBR_W1,RR_FLR_SMBR_W2,RR_FLR_SMBR_T1,RR_FLR_SMBR_T2,CTR_SMBR_FR_W1,CTR_SMBR_FR_W1.1,CTR_SMBR_FR_T1,CTR_SMBR_FR_T2,CTR_SMBR_RR_W1,CTR_SMBR_RR_W2,CTR_SMBR_RR_T1,CTR_SMBR_RR_T2,STEP1_FREQ_1ST
46.872,31.84,0.8096,3.1816791,105.93356,45.28931,1.1358452,0.6486609,51.733138,31.652449,1.1308424,1.4432761,27.706704,103.15023,2.0211895,1.3567881,57.991341,34.674413,1.2673246,5.0960874,36.736237,33.415887,0.859364,2.1686448,74.897094,49.101244,1.2056245,3.2105561,62.234105,65.894424,1.3249045,1.3513355,76.992384,44.791545,1.9915831,0.717617,163.62426,54.97314,1.3922096,1.5659934,150.75143,64.17118,1.8186425,0.8435144,69.995057,89.175253,1.2379433,1.6667052,57.841882,127.93987,2.6205894,1.6841948,159.75833,29.539958,2.4054197,0.8303944,145.72383,37.418664,1.4385106,1.2460772,124.45604,76.261768,1.8689819,1.1157373,93.668455,57.399451,1.7424364,6.405104,58.210095,50.781186,2.6105706,3.0042462,106.92677,72.183872,1.3593171,0.8266796,85.154726,47.616621,0.6759129,1.2037028,58.71928,36.535145,1.1196163,1.3136972,55.24426
53.352,41.44,0.7136,2.3900213,70.314675,38.049484,1.0209071,0.9158438,80.456638,32.836765,1.4123492,1.3073593,33.328617,70.395799,2.0370576,1.567171,67.982314,27.476298,1.4965192,3.7915816,49.186415,39.973888,1.3794516,1.6343376,65.764624,53.154636,2.0204609,3.7444828,64.395903,67.105931,1.0568747,2.2786899,113.60061,66.505531,2.0121385,0.6026609,154.17695,55.196994,1.5783147,1.6853932,179.86692,47.741092,1.9494797,1.1418399,71.272945,88.624131,1.2774297,1.9298939,48.688202,111.85887,2.8068975,1.6089005,167.32397,31.239943,1.9603041,0.8810321,124.43121,43.318532,1.436753,0.8619176,130.31313,68.978405,1.3458256,0.95662,125.20372,53.986862,1.8726655,6.4238881,70.577646,43.559188,3.9229216,2.8995744,112.51914,69.03314,0.9999977,0.8912261,94.0719,54.680393,0.6677666,1.6705019,47.108841,53.683339,1.0476271,1.0660604,55.14827
59.832,51.04,0.6176,3.5789339,90.13098,40.326689,1.2308038,0.993448,64.408458,38.077615,1.0260706,2.3199808,26.804859,86.102243,1.8560105,1.517361,89.073773,31.605519,0.9348739,4.0933389,41.349098,51.678207,1.4988423,1.7613794,71.369761,39.682008,1.5831951,2.9716858,72.169128,60.779188,1.8645132,1.8505676,119.69018,61.822787,1.887848,0.5411731,118.28467,42.860321,1.5542199,2.0091633,195.27461,51.586749,2.3844572,0.930551,52.931772,71.917609,1.1190182,2.2164427,64.119537,86.813161,3.2034502,1.329901,162.57283,40.173213,2.4073086,0.6155122,117.82144,44.339124,1.2553675,1.1107148,119.54994,67.398854,1.7434096,1.6150867,126.18563,71.216709,2.1934049,4.4948749,62.308363,70.80273,2.357279,3.7879904,110.34041,54.73663,1.7688841,0.5659217,78.685123,47.925274,1.1297295,1.7599484,75.651997,44.442604,1.1005462,1.5861275,55.41506
66.312,36.64,1.0016,2.7867058,97.476904,45.157388,1.3733296,0.9740469,90.295268,47.790523,1.3656637,1.4335426,40.413371,79.730999,2.9586329,0.9304524,76.576253,20.663981,1.5921618,4.3799938,33.728407,38.327,1.4195935,1.9097061,63.461835,55.424876,1.9168229,3.2417891,54.167744,65.074502,1.0638781,1.7263322,105.11165,47.975478,2.1731202,0.5054225,126.91844,57.438511,1.2603491,2.0749526,184.74944,61.753341,1.7102147,1.0003149,61.047286,78.574652,1.0696012,2.4560837,68.869117,87.340831,4.105559,1.4716724,119.07611,37.08045,1.9362537,0.687754,129.62133,33.883652,2.0540504,1.3850254,106.50857,85.167538,1.868416,1.2446897,111.20777,52.674007,1.6176449,5.1731293,98.974978,54.972622,2.776451,3.3476793,80.947205,66.156613,1.5653018,0.9122938,54.398644,58.199678,0.8645336,1.6078282,72.188358,51.906388,0.9596409,1.2070111,55.55713
41.688,43.36,0.5984,3.8150053,85.214496,31.07497,1.3738315,0.6781402,76.405057,27.167947,1.0807066,1.5318975,35.40099,87.099032,3.0687611,1.4256331,50.171876,28.109526,1.2248709,3.5279826,33.30492,50.423021,1.2340316,2.2342191,55.101818,61.251643,1.5683374,2.5433991,90.368931,59.08987,1.1576351,1.7189436,120.06282,41.98608,1.684344,0.7583747,92.711621,38.17914,1.9564742,1.2023487,162.15723,65.502686,2.2553011,0.7641838,51.831757,53.262015,0.9873927,1.9530871,51.516482,125.67555,3.2582867,1.0835056,136.37596,47.709824,2.0773696,0.6948294,115.61758,33.173082,1.1736735,0.7884185,136.78302,81.549877,1.4999029,1.2391355,129.3616,57.487587,2.0962261,6.392996,87.065502,52.176844,3.0606525,2.1218549,81.040425,51.127615,1.6035621,0.7282042,77.032922,52.945362,1.0544877,1.0614141,70.854239,48.012523,0.977416,1.3935184,55.54055
48.168,28.96,0.9824,3.0233476,98.809783,26.566323,1.503938,1.0005625,85.271092,37.92451,1.1982328,1.6515729,37.385745,88.963866,1.9413717,1.348114,61.654876,24.617532,1.0410128,3.4610544,49.25761,55.782592,1.1996344,1.9562251,59.943083,37.036424,1.7436406,3.7963218,87.263935,69.003954,1.3545831,2.2991266,99.53374,46.070354,1.4014257,0.7051073,157.38463,58.897996,2.0655431,2.2002621,125.44461,66.027394,1.3629865,1.1512266,49.415297,76.116087,1.0849531,1.7299293,58.458801,126.57258,2.6879316,1.4226003,168.74931,38.159962,1.3702027,0.7506881,111.65414,38.212355,1.9711687,1.0512784,141.04209,64.65227,1.3405504,1.46108,131.56915,53.257908,1.6684436,5.4725921,83.01843,42.106125,2.7186144,2.6330496,100.21276,73.322094,1.2733318,0.9408174,80.447934,47.886929,1.0151777,1.4636679,46.105894,47.455559,0.7317514,1.5340403,56.06731
54.648,38.56,0.8864,4.2111194,106.15571,31.397022,1.6469132,1.1180315,62.205218,32.981777,0.9183645,1.9837818,45.213635,86.108813,1.8696569,1.4476777,49.550194,21.141091,0.9241617,3.0921479,35.681308,48.714507,1.4629457,1.4088517,59.787397,39.174115,1.7329389,2.4941481,50.261152,52.580581,1.3446754,1.3060109,83.60671,58.83871,1.7073455,0.7727182,152.17439,42.280209,1.1758872,1.2589934,195.89936,39.74948,2.2765681,0.7684684,59.074721,57.383083,1.2810991,1.7490766,55.436733,127.07228,3.7736097,1.2995794,115.69926,41.591684,2.2417024,0.8905737,147.64384,37.720484,1.2578868,0.9151894,91.469569,101.71056,1.4933304,1.5465419,128.58414,68.306509,1.6479127,4.4812388,96.792462,56.168439,3.5043533,2.9373334,134.03384,65.473848,1.1793529,0.88197,85.536398,46.464487,0.9822277,1.5116983,75.363664,51.8465,1.2430604,0.9702557,56.10519
61.128,48.16,0.7904,3.420032,76.772012,33.674226,1.0763606,1.0587657,51.334957,36.305147,1.0735238,1.871039,27.242926,100.7437,2.1805864,1.5057565,56.47347,31.764448,1.3997788,3.0873724,49.079622,57.660832,1.2891775,2.3521978,84.990306,45.127294,1.5037917,2.190075,73.858022,48.974018,1.0768825,1.8938117,95.635794,60.883232,1.9552654,0.5204654,159.02121,36.44504,1.4234023,1.8383983,144.0045,45.586454,1.3555137,0.7942209,49.997331,70.82417,0.9446256,1.3330433,60.360759,144.84167,4.2909586,1.66739,135.43672,46.357277,2.1114617,0.7896883,155.14969,38.883021,1.325011,1.1697493,109.97241,82.589194,1.8974602,1.5734361,104.3093,78.311071,1.8225724,4.9872787,103.49982,56.328787,3.378423,3.0518629,93.719586,61.287086,1.0017113,1.037525,63.802744,37.03337,0.9641132,1.5048391,51.282452,54.290984,0.7330091,0.992174,55.32583
67.608,33.76,0.6944,2.6278039,84.117936,38.504925,1.2188864,1.0393646,77.247002,29.444935,1.3350935,2.1578836,44.623865,96.817088,2.6008482,0.933209,72.200605,34.782142,1.5401901,4.8119331,33.938951,47.834752,1.2593298,1.419746,83.445651,44.70011,1.5250077,2.5099234,49.150548,65.840583,1.7584024,1.5450655,102.57852,59.328982,1.3392804,0.6743634,101.63849,52.72966,1.5734957,1.3421472,182.94846,67.950223,1.5804752,0.7755821,40.24471,67.762826,1.0057474,2.4432037,66.174469,150.04972,2.886208,1.7331006,166.37374,42.626597,1.593705,0.8279281,108.34925,38.722651,1.4004759,1.175677,98.160493,87.862494,2.1093424,1.4003133,98.760101,84.072832,1.2888133,6.0380855,78.883789,55.727896,2.8657931,3.0772576,99.123394,66.173838,1.657775,1.0181652,72.754545,59.209369,0.9761592,1.5083912,60.377472,57.835192,1.0582109,1.0140738,55.54348
42.984,40.48,0.7712,3.6566738,78.104892,36.683161,1.206969,1.0852813,90.085546,43.012255,0.9841164,1.9957864,41.442872,107.53193,1.8456859,1.129057,55.327438,21.758766,1.3655064,3.1305272,49.328805,43.991296,1.0198172,2.2781125,54.121541,49.718212,1.4668203,3.8481609,68.131968,70.901977,1.6522916,2.3195633,85.46687,56.835177,1.8707128,0.8075536,160.59232,62.598998,1.5927716,1.6951311,170.62231,51.913697,1.9164932,1.1606133,61.757648,63.608044,0.8924766,1.5299646,68.229401,141.28629,2.5689658,1.2363002,170.17466,45.079981,1.9201014,0.620344,98.877069,33.106177,1.5455843,1.2406392,151.77104,60.326135,1.3352752,1.18554,137.93457,52.528954,1.4642218,4.521296,95.459215,40.653063,3.3743072,2.3665248,87.90638,77.611047,1.5466659,0.9904087,66.823967,41.093464,0.8225889,1.256834,45.102947,41.22778,1.0158757,1.2220201,56.42982
